noun,living room,거실
noun,garden,정원
noun,backyard,뒤뜰
noun,bathroom,화장실
noun,bedroom,침실
noun,kitchen,주방
noun,laundryroom,세탁실
noun,dining room,식당
noun,home,집
noun,convenience store,편의점
noun,soda,탄산 음료
noun,instant meals,즉석 음식
noun,coffee,커피
noun,candy,사탕
noun,protein bars,단백질 바
noun,ramen,라면
noun,bandages,붕대
noun,drinks,음료수
noun,ice cream,아이스크림
noun,batteries,건전지
noun,mask,마스크
noun,medicine,약
noun,kettle,주전자
noun,oven,오븐
noun,refrigerator,냉장고
noun,microwave,전자레인지
noun,mini fridge,미니 냉장고
noun,pot,냄비
noun,toaster,토스터기
noun,blender,믹서기
noun,dishwasher,식기 세척기
noun,stove,난로
noun,airfryer,에어 프라이어
noun,department store,백화점
noun,clothing store,옷가게
noun,book store,서점
noun,food market,식품가게
noun,furniture store,가구점
noun,makeup store,화장품 가게
noun,toy store,장난감 가게
noun,cosmetic store,화장품 가게
noun,shoe store,신발 가게
noun,escalator,에스컬레이터
noun,elevator,엘리베이터
noun,hotel,호텔
noun,front desk,프론트 데스크
noun,floors,바닥
noun,lobby,로비
noun,breakfast lounge,조식 라운지
noun,business centre,비즈니스 센터
noun,swimming pool,수영장
noun,jacuzzi,자쿠지
noun,valet parking,주차 대행
noun,sauna,사우나
noun,guest rooms,객실
noun,hospital,병원
noun,emergency room,응급실
noun,operating theater,수술실
noun,waiting room,대기실
noun,x-ray room,엑스레이 룸
noun,mri room,MRI 룸
noun,hospital ward,병원 병동
noun,apartment,아파트
noun,security office,경비실
noun,parking lot,주차장
noun,dumpster,쓰레기 수거통
noun,walking trail,워킹 트레일
noun,lake,호수
noun,playground,운동장
noun,school,학교
noun,teachers' lounge,교사 휴게실
noun,gym,체육관
noun,auditorium,강당
noun,cafeteria,구내 식당
noun,nurses' office,양호실
noun,principal's office,교장실
noun,locker room,라커룸
noun,music room,음악실
noun,airport,공항
noun,runway,활주로
noun,terminal building,터미널 건물
noun,control tower,컨트롤 타워
noun,hanger,비행기 격납고
noun,railway station,기차역
noun,maintenance,유지관리
noun,fuel depot,연료 창고
noun,parking deck,주차 빌딩
noun,aircraft stands,비행기 계류장
noun,boarding pass,탑승권
noun,carry on,휴대용 가방
noun,church,교회
noun,fruit,과일
noun,watermelon,수박
noun,pineapple,파인애플
noun,peach,복숭아
noun,mango,망고
noun,apple,사과
noun,banana,바나나
noun,kiwi,키위
noun,blueberry,블루 베리
noun,strawberry,딸기
noun,avacado,아보카도
noun,dragon fruit,드래곤프루트
noun,cherry,체리
noun,cucumber,오이
noun,pear,배
noun,apricot,살구
noun,coconut,코코넛
noun,pomegranate,석류
noun,blackberry,블랙베리
noun,raspberry,산딸기
noun,lemon,레몬
noun,grape,포도
noun,passion fruit,패션 프루트
noun,lychee,리치
noun,lime,라임
noun,papaya,파파야
noun,orange,오렌지
noun,grapefruit,자몽
noun,plum,자두
noun,melon,멜론
noun,vegetable,야채
noun,broccoli,브로콜리
noun,lettuce,상추
noun,spinach,시금치
noun,mushroom,버섯
noun,pumpkin,호박
noun,pea,완두콩
noun,squash,호박
noun,corn,옥수수
noun,tomato,토마토
noun,zucchini,애호박
noun,onion,양파
noun,ginger,생강
noun,radish,무
noun,brussels sprout,방울 양배추
noun,cabbage,양배추
noun,potato,감자
noun,celery,셀러리
noun,asparagus,아스파라거스
noun,artichoke,아티 초크
noun,red pepper,고추
noun,carrot,당근
noun,green pepper,피망
noun,beet,비트
noun,kale,케일
noun,cauliflower,콜리플라워
noun,eggplant,가지
noun,spring onion,파
noun,fast food,패스트 푸드
noun,taco,타코
noun,hamburger,햄버거
noun,french fries,감자 튀김
noun,sandwiches,샌드위치
noun,fish and chips,피시앤 칩스
noun,fried chicken,닭 튀김
noun,chicken nugget,치킨 너겟
noun,pizza,피자
noun,hot dog,핫도그
noun,milkshake,밀크 쉐이크
noun,toilet,화장실
noun,bathtub,욕조
noun,shower,샤워기
noun,sink,싱크대
noun,shampoo,샴푸
noun,conditioner,컨디셔너
noun,soap,비누
noun,toothbrush,칫솔
noun,toothpaste,치약
noun,towel,수건
noun,mirror,거울
noun,plunger,플런저
noun,lotion,로션
noun,hair brush,헤어브러시
noun,mouthwash,구강 청정제
noun,shaving cream,면 도용 크림
noun,hair dryer,헤어 드라이어
noun,toilet paper,화장지
noun,tissue,티슈
noun,comb,빗
noun,electronics,전자 제품
noun,mobile phone,휴대 전화
noun,television,텔레비전
noun,laptop,노트북
noun,desktop computer,데스크탑 컴퓨터
noun,ipad,아이 패드
noun,dvd player,DVD 플레이어
noun,ipod,아이팟
noun,camera,카메라
noun,fan,선풍기
noun,washing machine,세탁기
noun,game console,게임 콘솔
noun,printer,프린터
noun,radio,라디오
noun,instrument,악기
noun,violin,바이올린
noun,viola,비올라
noun,piano,피아노
noun,trumpet,트럼펫
noun,cello,첼로
noun,bass,베이스
noun,flute,플루트
noun,guitar,기타
noun,banjo,밴조
noun,harp,하프
noun,keyboard,건반
noun,drums,드럼
noun,trombone,트롬본
noun,french horn,프렌치 호른
noun,saxophone,색소폰
noun,xylophone,실로폰
